Title,Rating,Votes,Gross,Genre,Metascore,Certificate,Director,Year,Description,Runtime
Sen to Chihiro no kamikakushi,8.6,"747,148",$10.06M," Adventure, Family",96,U,Hayao Miyazaki,2001,"[""\nDuring her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.""]",125 min
The Lion King,8.5,"1,041,158",$422.78M," Adventure, Drama",88,U,Roger Allers,1994,"['\nLion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.']",88 min
Hotaru no haka,8.5,"272,469",," Drama, War",94,U,Isao Takahata,1988,['\nA young boy and his little sister struggle to survive in Japan during World War II.'],89 min
Kimi no na wa.,8.4,"259,975",$5.02M," Drama, Fantasy",79,U,Makoto Shinkai,2016,"['\nTwo strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?']",106 min
Spider-Man: Into the Spider-Verse,8.4,"510,227",$190.24M," Action, Adventure",87,U,Bob Persichetti,2018,"['\nTeen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.']",117 min
Coco,8.4,"492,081",$209.73M," Adventure, Comedy",81,U,Lee Unkrich,2017,"[""\nAspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.""]",105 min
WALL·E,8.4,"1,100,175",$223.81M," Adventure, Family",95,U,Andrew Stanton,2008,"['\nIn the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.']",98 min
Mononoke-hime,8.4,"388,925",$2.38M," Adventure, Fantasy",76,U,Hayao Miyazaki,1997,"[""\nOn a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.""]",134 min
Up,8.3,"1,029,395",$293.00M," Adventure, Comedy",88,U,Pete Docter,2009,"['\n78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.']",96 min
Toy Story 3,8.3,"826,193",$415.00M," Adventure, Comedy",92,U,Lee Unkrich,2010,"[""\nThe toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.""]",103 min
Toy Story,8.3,"979,994",$191.80M," Adventure, Comedy",95,U,John Lasseter,1995,"[""\nA cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.""]",81 min
Inside Out,8.2,"701,106",$356.46M," Adventure, Comedy",94,U,Pete Docter,2015,"['\nAfter young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.']",95 min
Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,"55,255",," Action, Adventure",72,UA,Haruo Sotozaki,2020,"[""\nAfter his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.""]",117 min
Hauru no ugoku shiro,8.2,"387,977",$4.71M," Adventure, Family",80,U,Hayao Miyazaki,2004,"['\nWhen an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.']",119 min
Finding Nemo,8.2,"1,031,038",$380.84M," Adventure, Comedy",90,U,Andrew Stanton,2003,"['\nAfter his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.']",100 min
Koe no katachi,8.1,"78,876",, Drama,78,16,Naoko Yamada,2016,"['\nA young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.']",130 min
Klaus,8.1,"146,042",," Adventure, Comedy",65,7,Sergio Pablos,2019,"[""\nA simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.""]",96 min
Ôkami kodomo no Ame to Yuki,8.1,"44,668",," Drama, Family",71,U,Mamoru Hosoda,2012,"['\nAfter her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.']",117 min
Mary and Max.,8.1,"176,615",," Comedy, Drama",,,Adam Elliot,2009,"['\nA tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.']",92 min
How to Train Your Dragon,8.1,"730,922",$217.58M," Action, Adventure",75,U,Dean DeBlois,2010,"['\nA hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.']",98 min
Ratatouille,8.1,"721,458",$206.45M," Adventure, Comedy",96,U,Brad Bird,2007,['\nA rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.'],111 min
"Monsters, Inc.",8.1,"896,964",$289.92M," Adventure, Comedy",79,U,Pete Docter,2001,"['\nIn order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.']",92 min
The Iron Giant,8.1,"192,045",$23.16M," Action, Adventure",85,U,Brad Bird,1999,['\nA young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.'],86 min
Tonari no Totoro,8.1,"333,845",$1.11M," Comedy, Family",86,U,Hayao Miyazaki,1988,"['\nWhen two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.']",86 min
WolfWalkers,8.0,"31,618",," Adventure, Family",87,UA,Tomm Moore,2020,['\nA young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.'],103 min
Soul,8.0,"319,513",," Adventure, Comedy",83,U,Pete Docter,2020,"['\nAfter landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.']",100 min
Zootopia,8.0,"490,842",," Adventure, Comedy",78,U,Byron Howard,2016,"['\nIn a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.']",108 min
Kaguya-hime no Monogatari,8.0,"46,319",," Drama, Family",89,U,Isao Takahata,2013,"['\nFound inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.']",137 min
Song of the Sea,8.0,"58,124",," Adventure, Drama",85,PG,Tomm Moore,2014,"['\nBen, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.']",93 min
Persepolis,8.0,"94,517",," Biography, Drama",90,PG-13,Vincent Paronnaud,2007,['\nA precocious and outspoken Iranian girl grows up during the Islamic Revolution.'],96 min
The Incredibles,8.0,"725,314",$261.44M," Action, Adventure",90,U,Brad Bird,2004,"['\nWhile trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.']",115 min
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.0,"53,842",," Action, Drama",,Not Rated,Hideaki Anno,1997,['\nConcurrent theatrical ending of the TV series Shin seiki evangerion (1995).'],87 min
Pâfekuto burû,8.0,"74,701",," Crime, Drama",,A,Satoshi Kon,1997,"['\nA pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.']",81 min
Aladdin,8.0,"412,772",$217.35M," Adventure, Comedy",86,U,Ron Clements,1992,['\nA kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.'],90 min
Beauty and the Beast,8.0,"450,780",," Family, Fantasy",95,U,Gary Trousdale,1991,"[""\nA prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.""]",84 min
Akira,8.0,"184,356",," Action, Drama",67,UA,Katsuhiro Ôtomo,1988,"['\nA secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.']",124 min
Tenkû no shiro Rapyuta,8.0,"165,250",," Adventure, Family",78,U,Hayao Miyazaki,1986,['\nA young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.'],125 min
Kaze no tani no Naushika,8.0,"168,233",," Adventure, Sci-Fi",86,U,Hayao Miyazaki,1984,['\nWarrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.'],117 min
Fantastic Mr. Fox,7.9,"228,963",," Adventure, Comedy",83,U,Wes Anderson,2009,"[""\nAn urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.""]",87 min
Shrek,7.9,"668,156",," Adventure, Comedy",84,U,Andrew Adamson,2001,"['\nA mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.']",90 min
Toy Story 2,7.9,"574,778",," Adventure, Comedy",88,U,John Lasseter,1999,"['\nWhen Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.']",92 min
Mimi wo sumaseba,7.9,"62,107",," Drama, Family",75,U,Yoshifumi Kondô,1995,"['\nA love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.']",111 min
Kôkaku Kidôtai,7.9,"142,032",," Action, Crime",76,UA,Mamoru Oshii,1995,['\nA cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.'],83 min
The Nightmare Before Christmas,7.9,"330,540",," Family, Fantasy",82,U,Henry Selick,1993,"['\nJack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.']",76 min
Doragon bôru chô: Burorî,7.8,"27,232",," Action, Adventure",59,UA,Tatsuya Nagamine,2018,"[""\nGoku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.""]",100 min
Isle of Dogs,7.8,"166,539",," Adventure, Comedy",82,U,Wes Anderson,2018,"[""\nSet in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.""]",101 min
Loving Vincent,7.8,"57,727",," Biography, Crime",62,UA,Dorota Kobiela,2017,"[""\nIn a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.""]",94 min
Big Hero 6,7.8,"456,307",," Action, Adventure",74,U,Don Hall,2014,"['\nA special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.']",102 min
How to Train Your Dragon 2,7.8,"332,536",," Action, Adventure",77,U,Dean DeBlois,2014,"['\nWhen Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.']",102 min
Tôkyô goddofâzâzu,7.8,"39,951",," Adventure, Comedy",73,UA,Satoshi Kon,2003,"['\nOn Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.']",90 min
Sennen joyû,7.8,"27,967",$0.19M," Drama, Fantasy",70,PG,Satoshi Kon,2001,['\nA TV interviewer and his cameraman meet a former actress and travel through her memories and career.'],87 min
Cowboy Bebop: Tengoku no tobira,7.8,"48,674",$1.00M," Action, Crime",61,U,Shin'ichirô Watanabe,2001,"[""\nA terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.""]",115 min
Jûbê ninpûchô,7.8,"37,510",," Action, Adventure",,A,Yoshiaki Kawajiri,1993,['\nA vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.'],94 min
Batman: Mask of the Phantasm,7.8,"50,800",$5.62M," Action, Adventure",65,PG,Kevin Altieri,1993,['\nBatman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.'],76 min
Majo no takkyûbin,7.8,"143,013",," Adventure, Family",83,U,Hayao Miyazaki,1989,"['\nA young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.']",103 min
Kubo and the Two Strings,7.7,"128,540",$48.02M," Action, Adventure",84,U,Travis Knight,2016,['\nA young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.'],101 min
The Breadwinner,7.7,"25,319",$0.31M," Drama, Family",78,U,Nora Twomey,2017,"['\nIn 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.']",94 min
Omoide no Mânî,7.7,"40,332",$0.77M," Drama, Family",72,U,Hiromasa Yonebayashi,2014,"[""\nDue to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.""]",103 min
Ma vie de Courgette,7.7,"25,421",$0.29M," Comedy, Drama",85,PG-13,Claude Barras,2016,"['\nAfter losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love.']",66 min
Kaze tachinu,7.7,"85,123",$5.21M," Biography, Drama",83,Not Rated,Hayao Miyazaki,2013,"['\nA look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.']",126 min
Toy Story 4,7.7,"245,779",$434.04M," Adventure, Comedy",84,U,Josh Cooley,2019,"['\nWhen a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.']",100 min
Wreck-It Ralph,7.7,"418,352",$189.42M," Adventure, Comedy",72,U,Rich Moore,2012,"['\nA video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.']",101 min
Le Petit Prince,7.7,"61,997",$1.34M," Adventure, Drama",70,PG,Mark Osborne,2015,"['\nA little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.']",108 min
The Lego Movie,7.7,"352,065",$257.76M," Action, Adventure",83,U,Phil Lord,2014,"['\nAn ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.']",100 min
Papurika,7.7,"82,642",$0.88M," Drama, Fantasy",81,U,Satoshi Kon,2006,"[""\nWhen a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.""]",90 min
Toki o kakeru shôjo,7.7,"66,081",," Adventure, Comedy",,U,Mamoru Hosoda,2006,"['\nA high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.']",98 min
Tangled,7.7,"447,447",$200.82M," Adventure, Comedy",71,U,Nathan Greno,2010,"['\nThe magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.']",100 min
Coraline,7.7,"224,221",$75.29M," Drama, Family",80,U,Henry Selick,2009,"['\nAn adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.']",100 min
Les triplettes de Belleville,7.7,"54,466",$7.00M," Comedy, Drama",91,PG-13,Sylvain Chomet,2003,"['\nWhen her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.']",80 min
Waking Life,7.7,"64,147",$2.89M," Drama, Fantasy",83,R,Richard Linklater,2001,['\nA man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.'],99 min
"South Park: Bigger, Longer & Uncut",7.7,"204,110",$52.04M," Comedy, Fantasy",73,A,Trey Parker,1999,"['\nWhen Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.']",81 min
Kurenai no buta,7.7,"89,026",," Adventure, Comedy",83,U,Hayao Miyazaki,1992,"['\nIn 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.']",94 min
Who Framed Roger Rabbit,7.7,"200,051",$156.45M," Adventure, Comedy",83,U,Robert Zemeckis,1988,"[""\nA toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.""]",104 min
La planète sauvage,7.7,"31,226",$0.19M, Sci-Fi,73,U,René Laloux,1973,"['\nOn a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.']",72 min
Fantasia,7.7,"96,094",$76.41M," Family, Fantasy",96,U,James Algar,1940,"['\nA collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.']",125 min
The Mitchells vs the Machines,7.6,"105,707",," Adventure, Comedy",81,13,Michael Rianda,2021,"[""\nA quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.""]",114 min
Incredibles 2,7.6,"292,218",$608.58M," Action, Adventure",80,UA,Brad Bird,2018,['\nThe Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.'],118 min
Moana,7.6,"329,295",$248.76M," Adventure, Comedy",81,U,Ron Clements,2016,"[""\nIn Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.""]",107 min
Despicable Me,7.6,"542,379",$251.51M," Adventure, Comedy",72,U,Pierre Coffin,2010,"['\nWhen a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.']",95 min
Gake no ue no Ponyo,7.6,"142,408",$15.09M," Adventure, Comedy",86,U,Hayao Miyazaki,2008,"['\nA five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.']",101 min
Kung Fu Panda,7.6,"463,897",$215.43M," Action, Adventure",74,U,Mark Osborne,2008,"[""\nTo everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.""]",92 min
Mulan,7.6,"284,542",$120.62M," Adventure, Comedy",71,U,Tony Bancroft,1998,"[""\nTo save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.""]",88 min
The Little Mermaid,7.6,"260,026",$111.54M," Adventure, Comedy",88,U,Ron Clements,1989,"[""\nA mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.""]",83 min
The Jungle Book,7.6,"181,528",$141.84M," Adventure, Comedy",65,U,Wolfgang Reitherman,1967,['\nBagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.'],78 min
Snow White and the Seven Dwarfs,7.6,"197,860",$184.93M," Adventure, Family",95,U,William Cottrell,1937,"['\nExiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.']",83 min
